,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
0,108,True,51.4981256,false,-0.1321021999999914,"Abbey Orchard Street, Westminster",11,29,18,False,3429,2010-07-14,
1,559,True,51.501391,false,-0.205991,"Abbotsbury Road, Holland Park",17,24,7,False,200111,,
2,394,True,51.524826,false,-0.176268,"Aberdeen Place, St. John's Wood",9,18,9,False,2698,,
3,554,True,51.513548,false,-0.005659,"Aberfeldy Street, Poplar",13,16,3,False,200078,,
4,583,True,51.49764,false,-0.12597218,"Abingdon Green, Westminster",9,20,10,False,200231,,
5,38,True,51.4973875,false,-0.197245586,"Abingdon Villas, Kensington",14,17,3,False,3442,2010-07-08,
6,505,True,51.520398,false,-0.026768,"Ackroyd Drive, Bow",28,29,0,False,200038,2012-01-30,
7,718,True,51.53571683,false,-0.060291813,"Ada Street, Hackney Central",27,45,18,False,300040,2013-11-20,
8,606,True,51.504199,false,-0.210941,"Addison Road, Holland Park",10,26,16,False,200218,,
9,616,True,51.48102131,false,-0.209973497,"Aintree Street, Fulham",13,24,10,False,200098,,
10,540,True,51.528302,false,-0.144466,"Albany Street, The Regent's Park",13,27,14,False,200134,,
11,710,True,51.47439218,false,-0.163347594,"Albert Bridge Road, Battersea Park",14,20,6,False,300045,2013-11-15,
12,100,True,51.49043573,false,-0.122806861,"Albert Embankment, Vauxhall",10,24,14,False,1059,2010-07-14,
13,483,True,51.51328,false,-0.047784,"Albert Gardens, Stepney",20,33,12,False,22166,2012-01-20,
14,303,True,51.50295379,false,-0.158456089,"Albert Gate, Hyde Park",21,34,11,False,1132,2010-07-22,
15,802,True,51.4765900593,false,-0.118256789081,"Albert Square, Stockwell",23,32,9,False,300209,2016-06-02,
16,185,True,51.48805753,false,-0.140741432,"Alderney Street, Pimlico",12,14,2,False,1174,2010-07-17,
17,95,True,51.5208417,false,-0.097340162,"Aldersgate Street, Barbican",3,15,12,False,1065,2010-07-14,
18,726,True,51.47505096,false,-0.150908371,"Alfreda Street, Battersea Park",22,22,0,False,300047,2013-11-22,
19,661,True,51.51632095,false,-0.202608612,"All Saints Church, Portobello",36,37,1,False,300023,2013-10-27,
20,643,True,51.5190427,false,-0.204764421,"All Saints' Road, Portobello",14,22,8,False,300026,2013-10-17,
21,826,True,51.496863,false,-0.1429434,"Allington Street, Victoria",22,28,6,False,300242,2017-07-20,
22,724,True,51.45799126,false,-0.184806157,"Alma Road, Wandsworth",9,28,19,False,300046,2013-11-22,
23,576,True,51.497304,false,-0.022793,"Alpha Grove, Millwall",23,23,0,False,200109,,
24,26,True,51.52728093,false,-0.11829517,"Ampton Street , Clerkenwell",18,21,2,False,1019,2010-07-06,
25,500,True,51.520019,false,-0.05438,"Ansell House, Stepney",3,41,38,False,200148,2012-01-24,
26,518,True,51.528224,false,-0.037471,"Antill Road, Mile End",22,30,8,False,200041,,
27,641,True,51.49824168,false,-0.117495865,"Archbishop's Park, Waterloo",6,23,17,False,300025,2013-10-16,
28,14,True,51.529416,false,-0.12394439999999918,"Argyle Street, Kings Cross",35,45,8,False,1011,2010-07-05,
